Type;SIRET;Numero PV;Raison sociale;Adresse;CP;UL;Ville;Département;Région;IDCC;FD;Lib IDCC;Date;Coll;Inscrits;Votants;sve_total;CGT;CFDT;CGT-FO;CFTC;CFE-CGC;SOLIDAIRES;UNSA;AUTRES
CSE;52313258700016;4793338;ANIMATION ET GESTION DES ETABLISSEMENTS POUR PERSONNES AGEES FONDES PAR LA CONGREGATION DES SOEURS D;4  RUE HOTEL DE VILLE;34700;CLERMONT-L-HERAULT;LODEVE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2023;2;13;13;13;0;0;0;0;13;0;0;0
CSE;52313258700016;4793339;ANIMATION ET GESTION DES ETABLISSEMENTS POUR PERSONNES AGEES FONDES PAR LA CONGREGATION DES SOEURS D;4  RUE HOTEL DE VILLE;34700;CLERMONT-L-HERAULT;LODEVE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;13/03/2023;1;142;118;109;0;61;48;0;0;0;0;0
CSE;34034342500310;4800821;ADPEP34 MECS LES TERRES ROUGES;12 RUE COUTELLERIE;34800;BEZIERS;CLERMONT L HERAULT;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;69;41;38;38;0;0;0;0;0;0;0
CSE;34034342500237;4800822;MAISON D ACCUEIL SPECIALISEE;ZAE LA GARRIGUE 9 RUE DU MOULIN A;34725;CLERMONT-L-HERAULT;ST ANDRE DE SANGONIS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;128;84;81;81;0;0;0;0;0;0;0
CSE;34034342500252;4800824;ATELIERS KENNEDY;285 RUE MAS DE PRUNET;34070;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;10/03/2023;5;106;67;66;66;0;0;0;0;0;0;0
CSE;77608092100013;4801504;ASS OEUVRES SOCIALES VILLE;5  RUE DU COUSTOU;34220;BÉDARIEUX;SAINT-PONS-DE-THOMIERES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;23/03/2023;1;63;41;41;8;10;8;15;0;0;0;0
CSE;77608092100013;4801505;ASS OEUVRES SOCIALES VILLE;5  RUE DU COUSTOU;34220;BÉDARIEUX;SAINT-PONS-DE-THOMIERES;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;23/03/2023;2;28;18;16;4;7;0;5;0;0;0;0
CSE;34106240401427;4812116;CSE OCCITANIE EST;IME LA CORNICHE;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/03/2023;3;55;11;10;10;0;0;0;0;0;0;0
CSE;34106240401427;4812117;CSE OCCITANIE EST;IME LA CORNICHE;34200;SETE;SETE;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;09/03/2023;1;197;69;68;68;0;0;0;0;0;0;0
CSE;30328464000032;4838410;EHPAD FOYER DU ROMARIN;246 B RUE DU ROMARIN;34830;MONTPELLIER;CLAPIERS;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;24/04/2023;5;56;37;34;0;34;0;0;0;0;0;0
CSE;77606893400038;4874880;ASSOCIATION CHARLES PREVOST - NOTRE DAME DE LENNE;18 B AV DE CASTELNAU;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;30/05/2023;1;163;82;79;11;0;0;0;0;68;0;0
CSE;77606541900033;4939158;CENTRE ORTHOPEDIQUE MAGUELONE;845 AV GEORGES FRECHE;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;22/09/2023;2;38;30;29;18;11;0;0;0;0;0;0
CSE;77606541900033;4939159;CENTRE ORTHOPEDIQUE MAGUELONE;845 AV GEORGES FRECHE;34170;MONTPELLIER;CASTELNAU LE LEZ;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;22/09/2023;1;17;14;13;13;0;0;0;0;0;0;0
CSE;47934358400013;4963937;UNION MUTUALISTE PROPARA;263 RUE DU CADUCEE;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;06/10/2023;1;70;24;23;23;0;0;0;0;0;0;0
CSE;47934358400013;4963939;UNION MUTUALISTE PROPARA;263 RUE DU CADUCEE;34090;MONTPELLIER;MONTPELLIER;34;Occitanie;29;FD CGT SANTE, AS;HOSPITALISATION A BUT NON LUCRATIF FEHAP;06/10/2023;2;77;30;26;26;0;0;0;0;0;0;0
